NOM_BORNE_,T(wait),T(charge)
CEA-11800,422.17023769877005,90.57206145326651
CEA-11801,5.0878948285714305,1.6917250305000002
CEA-11851,68.04462151771428,22.624836654639996
CEA-11855,399.7241099426572,90.682984929937
CEA-11857,78.581912958,29.03165117615
CEA-11910,508.20246547611424,112.798593678175
CEA-11913,132.5391910354286,48.9658677992
CEA-11925,207.62282817559998,46.00367825315
CEA-11935,600.9130833042857,123.05030259886999
CEA-11946,163.86012856182856,54.483492746808
CEA-11948,121.75286652628571,40.482828119989996
CEA-11952,371.7026715675771,98.2469370465
CEA-11961,202.07781283879999,50.71482481913
CEA-11965,176.49440715622856,51.2301129498
CEA-11991,1138.2244818969857,231.20590570097153
CEA-11995,299.5651687438571,76.86272204004
CEA-12007,146.24085863674284,48.62508549671699
CEA-12011,751.8168187434144,153.499083321705
CEA-12019,1340.4793610136358,273.51392715876847
CEA-12026,965.2290418278142,195.51776526945747
CEA-12064,331.23609968889724,70.16451886869801
CEA-12068,182.8864317980229,51.459756550006006
CEA-12073,125.94721590668573,41.877449288973004
CEA-12099,326.9713845653572,80.067741689625
CEA-12102,122.3944364442857,45.217944575249994
CEA-12107,488.34336666603434,103.671588483036
CEA-12254,75.23754908571428,25.016485070999998
CEA-12278,644.1850734750072,134.2195897164075
CEA-12279,1039.7151379088743,252.646578612133
CEA-12285,425.6498507892457,101.85379394915599
CEA-12286,280.84534117582854,73.414499345458
CEA-12293,268.42332761656576,66.991261800788
CEA-12296,1865.0580884809315,454.9148173835405
CEA-123,445.90706938644286,91.22041787651999
CEA-12301,1239.3215592159715,251.586971886677
CEA-12306,1287.3705125674285,257.76575605107
CEA-12310,83.0142238716,30.669143819229998
CEA-12354,194.4264380831143,58.36566752266501
CEA-12444,117.1434508552,32.50483691646
CEA-12445,1314.4176788716716,259.983606141996
CEA-12450,389.5931589581143,83.1466247522355
CEA-12454,90.14546396742858,29.973366769169992
CEA-12463,31.500352854828584,11.350164541090004
CEA-12469,1849.6122984029457,371.271312681491
CEA-12477,1231.8959085750228,304.8575323410425
CEA-12480,810.7036508328571,165.30462621395498
CEA-12508,83.65698862400001,27.815948717479998
CEA-12532,148.0842815634286,49.23802361984
CEA-12569,461.4604263564172,96.4645672324135
CEA-12574,1179.1439573572043,240.6974026032695
CEA-12636,1029.0198774811086,210.634736416801
CEA-12646,1561.9957260692288,313.38831749403005
CEA-12748,390.77717243528576,100.552790524435
CEA-12794,778.5523085175315,161.24718391623202
CEA-12864,125.15259187161142,31.320017001720995
CEA-12870,3657.3391495138712,707.162157422525
CEA-12902,691.9240819277086,148.539566924942
CEA-12930,128.3549607874286,42.67802446182001
CEA-12933,467.49982925510574,103.39086296932349
CEA-12975,172.85927917903427,40.00129278949299
CEA-12977,606.7832781988229,126.07985883953401
CEA-12990,117.46472577828571,39.05702132128
CEA-12991,400.91209645645995,85.685569458894
CEA-13051,11.974543707428591,3.9815357827200053
CEA-13080,581.7656101571599,126.58341335572099
CEA-13330,474.37680459886286,98.343406768472
CEA-13338,397.4250080188972,82.086163154849
CEA-13408,486.99565215550285,127.92615370524899
CEA-13415,402.20140477290863,111.258538072014
CEA-13424,5812.77444847365,1112.6088212436655
CEA-13436,253.45122835942854,61.82403310879
CEA-13447,425.29245929887855,111.60138004896748
CEA-13468,88.25424366000001,29.344536016950002
CEA-13470,601.3821918555885,121.83831224648499
CEA-13493,78.95346807857143,26.252028136125002
CEA-13495,702.6769061152056,144.65226087652198
CEA-13507,489.3716534705999,101.62272045996498
CEA-13596,1765.1196034765885,432.434337264168
CEA-13649,1142.9177428806029,231.227920236174
CEA-13657,272.1198772302257,65.405436497799
CEA-13658,103.21470807200001,34.31889043394
CEA-13766,363.5034634705143,80.31030489522
CEA-13793,2105.9873495920115,414.70846308455344
CEA-13818,2139.84545079474,422.29419429219496
CEA-13819,1993.8912771893572,481.6388731268145
CEA-14202,3072.8658213827216,598.4827758480815
CEA-14459,148.0563188364343,54.69858445901599
CEA-14485,352.2214935027428,85.42553572326
CEA-14505,21.284510135428572,7.07709962003
CEA-14512,139.15658183104287,34.461774577935
CEA-14545,72.74868270914288,24.188937000790006
CEA-14586,349.3613604783429,91.298066734615
CEA-14597,146.23927478622858,48.624558866421
CEA-14606,1229.0451594998915,242.86601207676898
CEA-14766,215.9473195885,56.40673572734299
CEA-14807,199.4450768441143,66.315488050668
CEA-14915,276.37464086134287,63.869910209640004
CEA-14933,211.23947381234285,53.78289109947999
CEA-15002,122.96625877485712,40.88628104263999
CEA-15332,937.8127572445715,188.416251037493
CEA-15335,84.62540136228571,28.137945952960003
CEA-15387,822.86111967814,170.555429652236
CEA-15414,96.74918616,32.1691043982
CEA-15415,641.1277006458457,135.076700972971
CEA-15437,101.31340210799999,44.91560826788
CEA-15495,70.8184217142857,23.547125219999998
CEA-172,570.4967743692572,119.47888182531749
CEA-266,410.8893395667429,89.76909212574999
CEA-389,182.0742520962714,45.1280084766725
CEB-10020,42.5784246114857,15.730362425909997
CEB-10179,119.17142500937143,44.02722090624
CEB-10185,118.71192493002863,29.09078293473001
CEB-10188,153.4828370395429,51.03304331564801
CEC-00102,21.894326440159205,6.352103540771242
CEC-00153,133.6550982795708,26.802473882859502
CEC-00183,22.841297378999997,7.5947313785175
CECA-00032,10.3046512532184,3.8069961574390208
